season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2009/2010,Steven Gerrard,Liverpool,90,CAM,England,EPL,,4,,,183cm,79kg,29
2009/2010,Fernando Torres,Liverpool,89,ST,Spain,EPL,,4,,,185cm,78kg,26
2009/2010,Wayne Rooney,Manchester United,89,CF,England,EPL,,4,,,177cm,79kg,24
2009/2010,Robin van Persie,Arsenal,88,CF,Netherlands,EPL,,4,,,183cm,71kg,26
2009/2010,José Reina,Liverpool,88,GK,Spain,EPL,,5,,,188cm,92kg,27
2009/2010,Frank Lampard,Chelsea,87,CAM,England,EPL,,4,,,183cm,83kg,31
2009/2010,Didier Drogba,Chelsea,87,ST,Ivory Coast,EPL,,4,,,189cm,88kg,32
2009/2010,Michaël Essien,Chelsea,87,CM,Ghana,EPL,,4,,,181cm,80kg,27
2009/2010,Petr Cech,Chelsea,87,GK,Czech Republic,EPL,,3,,,197cm,90kg,28
2009/2010,Nicolas Anelka,Chelsea,86,ST,France,EPL,,3,,,185cm,82kg,31
2009/2010,Emmanuel Adebayor,Manchester City,86,ST,Togo,EPL,,3,,,191cm,75kg,26
2009/2010,Kolo Touré,Manchester City,86,CB,Ivory Coast,EPL,,3,,,183cm,76kg,29
2009/2010,Carlos Tévez,Manchester City,86,CF,Argentina,EPL,,3,,,170cm,76kg,26
2009/2010,Andrey Arshavin,Arsenal,86,CF,Russia,EPL,,5,,,172cm,69kg,28
2009/2010,Cesc Fàbregas,Arsenal,86,CM,Spain,EPL,,3,,,176cm,70kg,23
2009/2010,Shay Given,Manchester City,85,GK,Republic of Ireland,EPL,,3,,,185cm,84kg,34
2009/2010,Michael Ballack,Chelsea,85,CM,Germany,EPL,,4,,,189cm,85kg,33
2009/2010,Brad Friedel,Aston Villa,85,GK,United States,EPL,,3,,,188cm,91kg,39
2009/2010,Tim Howard,Everton,85,GK,United States,EPL,,3,,,191cm,85kg,31
2009/2010,Dimitar Berbatov,Manchester United,85,ST,Bulgaria,EPL,,3,,,189cm,80kg,29
2009/2010,Mikel Arteta Amatriain,Everton,85,CAM,Spain,EPL,,4,,,176cm,70kg,28
2009/2010,Edwin van der Sar,Manchester United,85,GK,Netherlands,EPL,,3,,,197cm,89kg,39
2009/2010,Robson de Souza,Manchester City,85,LW,Brazil,EPL,,4,,,172cm,58kg,26
2009/2010,Nemanja Vidić,Manchester United,85,CB,Serbia,EPL,,3,,,189cm,84kg,28
2009/2010,Bacary Sagna,Arsenal,85,RB,France,EPL,,3,,,176cm,72kg,27
2009/2010,William Gallas,Arsenal,84,CB,France,EPL,,3,,,183cm,82kg,32
2009/2010,Gareth Barry,Manchester City,84,CDM,England,EPL,,4,,,183cm,79kg,29
2009/2010,Rio Ferdinand,Manchester United,84,CB,England,EPL,,3,,,192cm,82kg,31
