season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2019/2020,Kevin De Bruyne,Manchester City,91,CAM,Belgium,EPL,4,5,H,H,181cm,70kg,28
2019/2020,Mohamed Salah,Liverpool,90,RW,Egypt,EPL,4,3,H,M,175cm,71kg,27
2019/2020,Virgil van Dijk,Liverpool,90,CB,Netherlands,EPL,2,3,M,M,193cm,92kg,28
2019/2020,De Gea,Manchester United,89,GK,Spain,EPL,1,3,M,M,192cm,82kg,29
2019/2020,Sergio Agüero,Manchester City,89,ST,Argentina,EPL,4,4,H,M,173cm,70kg,31
2019/2020,N'Golo Kanté,Chelsea,89,CDM,France,EPL,2,3,M,H,168cm,72kg,29
2019/2020,Alisson,Liverpool,89,GK,Brazil,EPL,1,3,M,M,191cm,91kg,27
2019/2020,Harry Kane,Tottenham Hotspur,89,ST,England,EPL,3,4,H,H,188cm,89kg,26
2019/2020,Paul Pogba,Manchester United,88,CM,France,EPL,5,4,H,M,191cm,84kg,27
2019/2020,David Silva,Manchester City,88,CAM,Spain,EPL,4,2,H,M,173cm,67kg,34
2019/2020,Ederson,Manchester City,88,GK,Brazil,EPL,1,3,M,M,188cm,86kg,26
2019/2020,Raheem Sterling,Manchester City,88,RW,England,EPL,4,3,H,M,170cm,69kg,25
2019/2020,Sadio Mané,Liverpool,88,LW,Senegal,EPL,4,4,H,M,175cm,69kg,28
2019/2020,Christian Eriksen,Tottenham Hotspur,88,CAM,Denmark,EPL,4,5,H,H,181cm,76kg,28
2019/2020,Hugo Lloris,Tottenham Hotspur,88,GK,France,EPL,1,1,M,M,188cm,82kg,33
2019/2020,Aubameyang,Arsenal,88,ST,Gabon,EPL,4,4,M,L,187cm,80kg,30
2019/2020,Fernandinho,Manchester City,87,CDM,Brazil,EPL,3,4,M,H,179cm,67kg,35
2019/2020,Bernardo Silva,Manchester City,87,RW,Portugal,EPL,4,3,H,H,173cm,64kg,25
2019/2020,Aymeric Laporte,Manchester City,87,CB,France,EPL,2,3,M,M,189cm,85kg,25
2019/2020,Jan Vertonghen,Tottenham Hotspur,87,CB,Belgium,EPL,3,3,H,H,189cm,86kg,33
2019/2020,Toby Alderweireld,Tottenham Hotspur,87,CB,Belgium,EPL,2,3,M,M,186cm,81kg,31
2019/2020,Heung Min Son,Tottenham Hotspur,87,CF,Korea Republic,EPL,4,5,H,H,183cm,78kg,27
2019/2020,Leroy Sané,Manchester City,86,LW,Germany,EPL,4,3,H,M,183cm,75kg,24
2019/2020,Roberto Firmino,Liverpool,86,CF,Brazil,EPL,5,4,H,H,181cm,76kg,28
2019/2020,Alexandre Lacazette,Arsenal,86,ST,France,EPL,4,4,H,H,175cm,73kg,28
2019/2020,Timo Werner,Chelsea,86,ST,Germany,EPL,3,4,H,M,180cm,75kg,24
2019/2020,Fabinho,Liverpool,85,CDM,Brazil,EPL,3,2,M,H,188cm,78kg,26
2019/2020,Andrew Robertson,Liverpool,85,LB,Scotland,EPL,3,2,H,H,178cm,64kg,26
2019/2020,Rodrigo,Manchester City,85,CDM,Spain,EPL,3,4,M,H,191cm,82kg,23
2019/2020,Jamie Vardy,Leicester City,85,ST,England,EPL,3,3,H,H,179cm,74kg,33
2019/2020,Bruno Fernandes,Manchester United,85,CAM,Portugal,EPL,4,4,H,H,179cm,69kg,25
2019/2020,Hakim Ziyech,Chelsea,85,CAM,Morocco,EPL,5,2,H,M,181cm,65kg,27
2019/2020,João Cancelo,Manchester City,84,RB,Portugal,EPL,4,3,H,M,182cm,74kg,25
2019/2020,Riyad Mahrez,Manchester City,84,RW,Algeria,EPL,5,4,M,M,179cm,67kg,29
2019/2020,Kyle Walker,Manchester City,84,RB,England,EPL,2,2,H,H,183cm,70kg,29
2019/2020,João Moutinho,Wolverhampton Wanderers,84,CM,Portugal,EPL,3,4,H,H,170cm,61kg,33
2019/2020,Sokratis,Arsenal,84,CB,Greece,EPL,2,2,M,H,186cm,85kg,31
2019/2020,Mesut Özil,Arsenal,84,CAM,Germany,EPL,4,2,M,L,180cm,76kg,31
2019/2020,Ilkay Gündogan,Manchester City,84,CM,Germany,EPL,4,4,H,M,180cm,80kg,29
2019/2020,Kepa Arrizabalaga,Chelsea,84,GK,Spain,EPL,1,4,M,M,186cm,85kg,25
2019/2020,Georginio Wijnaldum,Liverpool,84,CM,Netherlands,EPL,4,3,H,H,175cm,69kg,29
2019/2020,Azpilicueta,Chelsea,84,RB,Spain,EPL,2,3,M,M,178cm,76kg,30
2019/2020,Dele Alli,Tottenham Hotspur,84,CAM,England,EPL,4,3,H,H,188cm,80kg,24
2019/2020,Bernd Leno,Arsenal,84,GK,Germany,EPL,1,3,M,M,190cm,83kg,28
2019/2020,Felipe Anderson,West Ham United,84,LM,Brazil,EPL,4,4,H,M,175cm,70kg,27
2019/2020,Wilfred Ndidi,Leicester City,84,CDM,Nigeria,EPL,3,4,M,H,183cm,74kg,23
2019/2020,Luiz Frello Filho Jorge,Chelsea,83,CM,Italy,EPL,3,3,M,M,180cm,67kg,28
2019/2020,Davinson Sánchez,Tottenham Hotspur,83,CB,Colombia,EPL,2,3,M,H,187cm,79kg,23
2019/2020,Nicolas Pépé,Arsenal,83,RM,Côte d'Ivoire,EPL,4,3,H,L,183cm,73kg,24
2019/2020,Jordan Henderson,Liverpool,83,CDM,England,EPL,3,3,H,H,182cm,80kg,29
2019/2020,Lucas,Tottenham Hotspur,83,CF,Brazil,EPL,4,4,H,M,174cm,70kg,27
2019/2020,John Stones,Manchester City,83,CB,England,EPL,3,4,H,M,188cm,70kg,25
2019/2020,Sébastien Haller,West Ham United,83,ST,France,EPL,3,2,H,M,190cm,82kg,25
2019/2020,Anthony Martial,Manchester United,83,LW,France,EPL,4,3,M,L,184cm,76kg,24
2019/2020,David Luiz,Arsenal,83,CB,Brazil,EPL,3,3,M,M,189cm,86kg,33
2019/2020,Kasper Schmeichel,Leicester City,83,GK,Denmark,EPL,1,3,M,M,189cm,89kg,33
2019/2020,Rui Patrício,Wolverhampton Wanderers,83,GK,Portugal,EPL,1,2,M,M,190cm,84kg,32
2019/2020,Gylfi Sigurðsson,Everton,83,CAM,Iceland,EPL,3,4,H,H,186cm,77kg,30
2019/2020,Nicolás Otamendi,Manchester City,83,CB,Argentina,EPL,2,3,M,H,183cm,81kg,32
2019/2020,Wilfried Zaha,Crystal Palace,83,CF,Côte d'Ivoire,EPL,5,3,H,L,180cm,66kg,27
