season,home_team,away_team,player_name,player_rating,starter,home_game,match_id
2017/2018,Arsenal,Leicester,Petr Cech,5.78,True,True,1190174
2017/2018,Arsenal,Leicester,Sead Kolasinac,7.55,True,True,1190174
2017/2018,Arsenal,Leicester,Nacho Monreal,7.30,True,True,1190174
2017/2018,Arsenal,Leicester,Rob Holding,6.53,True,True,1190174
2017/2018,Arsenal,Leicester,Héctor Bellerín,7.01,True,True,1190174
2017/2018,Arsenal,Leicester,Alex Oxlade-Chamberlain,9.23,True,True,1190174
2017/2018,Arsenal,Leicester,Mohamed Elneny,6.89,True,True,1190174
2017/2018,Arsenal,Leicester,Granit Xhaka,7.48,True,True,1190174
2017/2018,Arsenal,Leicester,Mesut Özil,7.24,True,True,1190174
2017/2018,Arsenal,Leicester,Danny Welbeck,7.70,True,True,1190174
2017/2018,Arsenal,Leicester,Alexandre Lacazette,8.47,True,True,1190174
2017/2018,Arsenal,Leicester,Olivier Giroud,7.53,False,True,1190174
2017/2018,Arsenal,Leicester,Theo Walcott,6.28,False,True,1190174
2017/2018,Arsenal,Leicester,Aaron Ramsey,7.31,False,True,1190174
2017/2018,Arsenal,Leicester,David Ospina,-,False,True,1190174
2017/2018,Arsenal,Leicester,Francis Coquelin,-,False,True,1190174
2017/2018,Arsenal,Leicester,Shkodran Mustafi,-,False,True,1190174
2017/2018,Arsenal,Leicester,Alex Iwobi,-,False,True,1190174
2017/2018,Arsenal,Leicester,Kasper Schmeichel,6.72,True,False,1190174
2017/2018,Arsenal,Leicester,Danny Simpson,6.07,True,False,1190174
2017/2018,Arsenal,Leicester,Wes Morgan,5.97,True,False,1190174
2017/2018,Arsenal,Leicester,Harry Maguire,7.19,True,False,1190174
2017/2018,Arsenal,Leicester,Christian Fuchs,6.17,True,False,1190174
2017/2018,Arsenal,Leicester,Riyad Mahrez,7.36,True,False,1190174
2017/2018,Arsenal,Leicester,Wilfred Ndidi,6.56,True,False,1190174
2017/2018,Arsenal,Leicester,Matty James,6.84,True,False,1190174
2017/2018,Arsenal,Leicester,Marc Albrighton,6.80,True,False,1190174
2017/2018,Arsenal,Leicester,Shinji Okazaki,7.35,True,False,1190174
2017/2018,Arsenal,Leicester,Jamie Vardy,8.23,True,False,1190174
2017/2018,Arsenal,Leicester,Daniel Amartey,6.00,False,False,1190174
2017/2018,Arsenal,Leicester,Kelechi Iheanacho,5.80,False,False,1190174
2017/2018,Arsenal,Leicester,Demarai Gray,5.99,False,False,1190174
2017/2018,Arsenal,Leicester,Islam Slimani,-,False,False,1190174
2017/2018,Arsenal,Leicester,Ben Chilwell,-,False,False,1190174
2017/2018,Arsenal,Leicester,Ben Hamer,-,False,False,1190174
2017/2018,Arsenal,Leicester,Andy King,-,False,False,1190174
2017/2018,Brighton,Manchester City,Mathew Ryan,6.24,True,True,1190175
2017/2018,Brighton,Manchester City,Bruno,6.71,True,True,1190175
2017/2018,Brighton,Manchester City,Shane Duffy,5.78,True,True,1190175
2017/2018,Brighton,Manchester City,Lewis Dunk,6.76,True,True,1190175
2017/2018,Brighton,Manchester City,Markus Suttner,6.51,True,True,1190175
2017/2018,Brighton,Manchester City,Solly March,6.76,True,True,1190175
2017/2018,Brighton,Manchester City,Davy Pröpper,6.40,True,True,1190175
2017/2018,Brighton,Manchester City,Dale Stephens,6.30,True,True,1190175
2017/2018,Brighton,Manchester City,Isaiah Brown,6.50,True,True,1190175
2017/2018,Brighton,Manchester City,Pascal Groß,6.03,True,True,1190175
2017/2018,Brighton,Manchester City,Tomer Hemed,6.25,True,True,1190175
2017/2018,Brighton,Manchester City,Anthony Knockaert,6.11,False,True,1190175
2017/2018,Brighton,Manchester City,Glenn Murray,5.95,False,True,1190175
2017/2018,Brighton,Manchester City,Jamie Murphy,6.02,False,True,1190175
2017/2018,Brighton,Manchester City,Niki Mäenpää,-,False,True,1190175
2017/2018,Brighton,Manchester City,Uwe Hünemeier,-,False,True,1190175
2017/2018,Brighton,Manchester City,Liam Rosenior,-,False,True,1190175
2017/2018,Brighton,Manchester City,Steve Sidwell,-,False,True,1190175
2017/2018,Brighton,Manchester City,Ederson,6.64,True,False,1190175
2017/2018,Brighton,Manchester City,Nicolás Otamendi,7.46,True,False,1190175
2017/2018,Brighton,Manchester City,Vincent Kompany,7.16,True,False,1190175
2017/2018,Brighton,Manchester City,John Stones,6.83,True,False,1190175
2017/2018,Brighton,Manchester City,Fernandinho,7.02,True,False,1190175
2017/2018,Brighton,Manchester City,Kyle Walker,7.18,True,False,1190175
2017/2018,Brighton,Manchester City,Kevin De Bruyne,7.22,True,False,1190175
2017/2018,Brighton,Manchester City,David Silva,8.30,True,False,1190175
2017/2018,Brighton,Manchester City,Danilo,6.39,True,False,1190175
2017/2018,Brighton,Manchester City,Sergio Agüero,7.37,True,False,1190175
2017/2018,Brighton,Manchester City,Gabriel Jesus,6.76,True,False,1190175
2017/2018,Brighton,Manchester City,Leroy Sané,6.24,False,False,1190175
2017/2018,Brighton,Manchester City,Bernardo Silva,6.04,False,False,1190175
2017/2018,Brighton,Manchester City,Raheem Sterling,6.03,False,False,1190175
2017/2018,Brighton,Manchester City,Claudio Bravo,-,False,False,1190175
2017/2018,Brighton,Manchester City,Eliaquim Mangala,-,False,False,1190175
2017/2018,Brighton,Manchester City,Phil Foden,-,False,False,1190175
2017/2018,Brighton,Manchester City,Yaya Touré,-,False,False,1190175
2017/2018,Chelsea,Burnley,Thibaut Courtois,5.65,True,True,1190176
2017/2018,Chelsea,Burnley,David Luiz,6.89,True,True,1190176
2017/2018,Chelsea,Burnley,Antonio Rüdiger,6.45,True,True,1190176
2017/2018,Chelsea,Burnley,Gary Cahill,5.31,True,True,1190176
2017/2018,Chelsea,Burnley,César Azpilicueta,6.85,True,True,1190176
2017/2018,Chelsea,Burnley,Marcos Alonso,7.07,True,True,1190176
2017/2018,Chelsea,Burnley,N'Golo Kanté,6.48,True,True,1190176
2017/2018,Chelsea,Burnley,Cesc Fàbregas,5.35,True,True,1190176
2017/2018,Chelsea,Burnley,Willian,7.37,True,True,1190176
2017/2018,Chelsea,Burnley,Jérémie Boga,6.03,True,True,1190176
2017/2018,Chelsea,Burnley,Michy Batshuayi,5.71,True,True,1190176
2017/2018,Chelsea,Burnley,Charly Musonda,6.00,False,True,1190176
2017/2018,Chelsea,Burnley,Andreas Christensen,6.75,False,True,1190176
