team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
Arsenal,London (Holloway),Emirates Stadium,60704,47589,Mikel Arteta,FALSE,Pierre-Emerick Aubameyang
Aston Villa,Birmingham,Villa Park,42785,28505,Dean Smith,TRUE,Jack Grealish
Bournemouth,Bournemouth,Dean Court,11329,7745,Eddie Howe,FALSE,Simon Francis
Brighton & Hove Albion,Falmer,Falmer Stadium,30750,22369,Graham Potter,FALSE,Lewis Dunk
Burnley,Burnley,Turf Moor,21944,15995,Sean Dyche,FALSE,Ben Mee
Chelsea,London (Fulham),Stamford Bridge,40834,32023,Frank Lampard,FALSE,César Azpilicueta
Crystal Palace,London (Selhurst),Selhurst Park,25486,19784,Roy Hodgson,FALSE,Luka Milivojević
Everton,Liverpool (Walton),Goodison Park,39414,28848,Carlo Ancelotti,FALSE,Séamus Coleman
Leicester City,Leicester,King Power Stadium,32243,25312,Brendan Rodgers,FALSE,Wes Morgan
Liverpool,Liverpool (Anfield),Anfield,53394,41955,Jürgen Klopp,FALSE,Jordan Henderson
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,37097,Pep Guardiola,FALSE,David Silva
Manchester United,Manchester (Old Trafford),Old Trafford,74879,57942,Ole Gunnar Solskjær,FALSE,Harry Maguire
Newcastle United,Newcastle upon Tyne,St James' Park,52388,35551,Steve Bruce,FALSE,Jamaal Lascelles
Norwich City,Norwich,Carrow Road,27244,19913,Daniel Farke,TRUE,Grant Hanley
Sheffield United,Sheffield,Bramall Lane,32125,24370,Chris Wilder,TRUE,Billy Sharp
Southampton,Southampton,St Mary's Stadium,32505,23428,Ralph Hasenhüttl,FALSE,James Ward-Prowse
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62303,43757,José Mourinho,FALSE,Hugo Lloris
Watford,Watford,Vicarage Road,22220,15353,Nigel Pearson,FALSE,Troy Deeney
West Ham United,London (Stratford),London Stadium,60000,44134,David Moyes,FALSE,Mark Noble
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,24758,Nuno Espírito Santo,FALSE,Conor Coady
