season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2009/2010,Arsenal,London (Holloway),Emirates Stadium,60355,59927,Arsène Wenger,False,Cesc Fàbregas
2009/2010,Aston Villa,Birmingham (Aston),Villa Park,42788,38573,Martin O'Neill,False,Stiliyan Petrov
2009/2010,Birmingham City,Birmingham (Bordesley),St Andrew's,30009,25246,Alex McLeish,True,Stephen Carr
2009/2010,Blackburn Rovers,Blackburn,Ewood Park,31367,25428,Sam Allardyce,False,Ryan Nelsen
2009/2010,Bolton Wanderers,Bolton,Reebok Stadium,28723,21881,Owen Coyle,False,Kevin Davies
2009/2010,Burnley,Bumley,Turf Moor,22546,20654,Brian Laws,True,Steven Caldwell
2009/2010,Chelsea,London (Fulham),Stamford Bridge,42055,41423,Carlo Ancelotti,False,John Terry
2009/2010,Everton,Liverpool (Walton),Goodison Park,40157,36725,David Moyes,False,Phil Neville
2009/2010,Fulham,London (Fulham),Craven Cottage,25700,23909,Roy Hodgson,False,Danny Murphy
2009/2010,Hull City,Kingston upon Hull,KC Stadium,25404,24390,Iain Dowie,False,Anthony Gardner
2009/2010,Liverpool,Liverpool (Anfield),Anfield,45276,42864,Rafael Benítez,False,Steven Gerrard
2009/2010,Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,45513,Roberto Mancini,False,Kolo Touré
2009/2010,Manchester United,Trafford (Old Trafford),Old Trafford,76212,74864,Sir Alex Ferguson,False,Gary Neville
2009/2010,Portsmouth,Portsmouth,Fratton Park,20688,18249,Avram Grant,False,David James
2009/2010,Stoke City,Stoke-on-Trent,Britannia Stadium,28383,27162,Tony Pulis,False,Abdoulaye Faye
2009/2010,Sunderland,Sunderland,Stadium of Light,49000,40355,Steve Bruce,False,Lorik Cana
2009/2010,Tottenham Hotspur,London (Tottenham),White Hart Lane,36240,35794,Harry Redknapp,False,Ledley King
2009/2010,West Ham United,London (Upton Park),Boleyn Ground,35309,33683,Gianfranco Zola,False,Matthew Upson
2009/2010,Wigan Athletic,Wigan,DW Stadiumbl,25138,18006,Roberto Martínez,False,Mario Melchiot
2009/2010,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,29303,28366,Mick McCarthy,True,Karl Henry
2010/2011,Arsenal,London (Holloway),Emirates Stadium,60361,60024,Arsène Wenger,False,Cesc Fàbregas
2010/2011,Aston Villa,Birmingham (Aston),Villa Park,42789,37194,Gérard Houllier,False,Stiliyan Petrov
2010/2011,Birmingham City,Birmingham (Bordesley),St Andrew's,30079,25462,Alex McLeish,False,Stephen Carr
2010/2011,Blackburn Rovers,Blackburn,Ewood Park,31367,25000,Steve Kean,False,Ryan Nelsen
2010/2011,Blackpool,Blackpool,Bloomfield Road,16220,15780,Ian Holloway,True,Charlie Adam
2010/2011,Bolton Wanderers,Bolton,Reebok Stadium,28723,22870,Owen Coyle,False,Kevin Davies
2010/2011,Chelsea,London (Fulham),Stamford Bridge,42449,41435,Carlo Ancelotti,False,John Terry
2010/2011,Everton,Liverpool (Walton),Goodison Park,40157,36039,David Moyes,False,Phil Neville
2010/2011,Fulham,London (Fulham),Craven Cottage,25700,25043,Mark Hughes,False,Danny Murphy
2010/2011,Liverpool,Liverpool (Anfield),Anfield,45276,42820,Kenny Dalglish,False,Steven Gerrard
2010/2011,Manchester City,Manchester (Bradford),City of Manchester Stadium,47405,45880,Roberto Mancini,False,Carlos Tevez
2010/2011,Manchester United,Manchester (Old Trafford),Old Trafford,75797,75109,Sir Alex Ferguson,False,Gary Neville
2010/2011,Newcastle United,Newcastle upon Tyne,St James' Park,52409,47718,Alan Pardew,True,Kevin Nolan
2010/2011,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,26858,Tony Pulis,False,Ryan Shawcross
2010/2011,Sunderland,Sunderland,Stadium of Light,49000,40011,Steve Bruce,False,Lee Cattermole
2010/2011,Tottenham Hotspur,London (Tottenham),White Hart Lane,36230,35704,Harry Redknapp,False,Michael Dawson
2010/2011,West Bromwich Albion,West Bromwich,The Hawthorns,26484,24683,Roy Hodgson,True,Chris Brunt
2010/2011,West Ham United,London (Upton Park),Boleyn Ground,35303,33492,Avram Grant,False,Matthew Upson
2010/2011,Wigan Athletic,Wigan,DW Stadium,25133,16812,Roberto Martínez,False,Gary Caldwell
2010/2011,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,29195,27696,Mick McCarthy,False,Karl Henry
2011/2012,Arsenal,London (Holloway),Emirates Stadium,60361,60000,Arsène Wenger,False,Robin van Persie
2011/2012,Aston Villa,Birmingham,Villa Park,42785,33873,Alex McLeish,False,Stiliyan Petrov
2011/2012,Blackburn Rovers,Blackburn,Ewood Park,31154,22551,Steve Kean,False,Paul Robinson
2011/2012,Bolton Wanderers,Bolton,Reebok Stadium,28100,23670,Owen Coyle,False,Kevin Davies
2011/2012,Chelsea,London (Fulham),Stamford Bridge,42449,41478,Roberto Di Matteo,False,John Terry
2011/2012,Everton,Liverpool (Walton),Goodison Park,40157,33228,David Moyes,False,Phil Neville
2011/2012,Fulham,London (Fulham),Craven Cottage,25700,25294,Martin Jol,False,Danny Murphy
2011/2012,Liverpool,Liverpool (Anfield),Anfield,45276,44253,Kenny Dalglish,False,Steven Gerrard
2011/2012,Manchester City,Manchester (Bradford),City of Manchester Stadium,47405,47045,Roberto Mancini,False,Vincent Kompany
2011/2012,Manchester United,Manchester (Old Trafford),Old Trafford,75811,75387,Sir Alex Ferguson,False,Nemanja Vidić
2011/2012,Newcastle United,Newcastle upon Tyne,St James' Park,52409,49936,Alan Pardew,False,Fabricio Coloccini
2011/2012,Norwich City,Norwich,Carrow Road,27183,26606,Paul Lambert,True,Grant Holt
2011/2012,Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18439,17295,Mark Hughes,True,Joey Barton
2011/2012,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,27226,Tony Pulis,False,Ryan Shawcross
2011/2012,Sunderland,Sunderland,Stadium of Light,49000,39095,Martin O'Neill,False,Lee Cattermole
2011/2012,Swansea City,Swansea,Liberty Stadium,20520,19946,Brendan Rodgers,True,Garry Monk
2011/2012,Tottenham Hotspur,London (Tottenham),White Hart Lane,36230,36026,Harry Redknapp,False,Ledley King
2011/2012,West Bromwich Albion,West Bromwich,The Hawthorns,27877,24798,Roy Hodgson,False,Chris Brunt
2011/2012,Wigan Athletic,Wigan,DW Stadium,25133,18634,Roberto Martínez,False,Gary Caldwell
2011/2012,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,27828,25682,Terry Connor,False,Roger Johnson
2012/2013,Arsenal,London (Holloway),Emirates Stadium,60362,60079,Arsène Wenger,False,Thomas Vermaelen
2012/2013,Aston Villa,Birmingham,Villa Park,42785,35059,Paul Lambert,False,Ron Vlaar
2012/2013,Chelsea,London (Fulham),Stamford Bridge,41798,41462,Rafael Benítez,False,John Terry
2012/2013,Everton,Liverpool (Walton),Goodison Park,40157,36355,David Moyes,False,Phil Neville
2012/2013,Fulham,London (Fulham),Craven Cottage,25700,25394,Martin Jol,False,Brede Hangeland
2012/2013,Liverpool,Liverpool (Anfield),Anfield,45276,44748,Brendan Rodgers,False,Steven Gerrard
2012/2013,Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,46963,Roberto Mancini,False,Vincent Kompany
2012/2013,Manchester United,Manchester (Old Trafford),Old Trafford,75765,75529,Sir Alex Ferguson,False,Nemanja Vidić
2012/2013,Newcastle United,Newcastle upon Tyne,St James' Park,52405,50517,Alan Pardew,False,Fabricio Coloccini
2012/2013,Norwich City,Norwich,Carrow Road,27224,26671,Chris Hughton,False,Grant Holt
2012/2013,Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18439,17748,Harry Redknapp,False,Clint Hill
2012/2013,Reading,Reading,Madejski Stadium,24197,23862,Nigel Adkins,True,Jobi McAnuff
2012/2013,Southampton,Southampton,St Mary's Stadium,32689,30926,Mauricio Pochettino,True,Adam Lallana
