manager_name,season_count,unweighted_average_hra,weighted_average_hra
Aitor Karanka,1,0.19979412741254832,0.14015037593984941
Alan Pardew,7,0.18108391202551158,0.11062929061784889
Alex McLeish,3,0.2124016070622548,0.2358088235294118
Alex Neil,1,0.21209562006620827,0.2025225225225224
Andre Villas-Boas,1,0.08949346405228732,0.10614754098360629
Antonio Conte,4,0.19136197076057757,0.17782374100719422
Arsene Wenger,9,0.23390174274360384,0.2557790368271954
Avram Grant,2,0.1481582382264201,0.16088397790055248
Brendan Rodgers,8,0.17841324997476485,0.1863619227144203
Brian Laws,1,0.23801860902255634,0.26130081300812996
Bruno Lage,1,-0.002514928888989223,-0.09761194029850771
Carlo Ancelotti,4,0.4158270135034187,0.25698501872659185
Carlos Carvalhal,1,0.0876480547774665,0.14699248120300762
Chris Hughton,3,0.1353922645460505,0.11256857855361596
Chris Ramsey,1,0.40260794142218304,0.5020325203252035
Chris Wilder,2,0.21159845396261814,0.2075174825174826
Claude Puel,2,0.08531433250594432,0.02468503937007878
Claudio Ranieri,2,0.23278429328669262,0.18563934426229495
Daniel Farke,1,0.1223305706898146,0.16539682539682563
David Moyes,11,0.06267506494599503,0.10172937771345873
David Wagner,1,0.18325182748538016,0.10929687500000018
Dean Smith,4,0.020802807101342576,0.005330578512396777
Dick Advocaat,1,-0.17829944157150057,-0.0794915254237291
Eddie Howe,7,0.1408978996926422,0.0949494949494948
Eric Black (caretaker),1,0.0821939393939394,0.07127272727272742
Erik ten Hag,1,0.16563640460801127,0.33165413533834565
Felix Magath,1,0.21125147920130619,0.15761904761904746
Francesco Guidolin,1,0.1072958927160607,0.2028124999999999
Frank Lampard,2,0.17921705143028682,0.27176211453744503
Garry Monk,2,0.08412322723572722,0.07044354838709681
Gary O'Neil,1,-0.008044217220687799,0.09754385964912272
Gerard Houllier,1,0.1816048582995951,0.27452173913043465
Gianfranco Zola,1,0.11829375522138667,0.20949152542372873
Graham Potter,4,0.07490872370277422,0.018110403397027755
Gus Poyet,1,0.1754927294927294,0.18752688172043006
Guus Hiddink (caretaker),1,-0.28477721978457265,-0.13238461538461532
Harry Redknapp,4,0.07428649735815228,0.20410989010989014
Iain Dowie,1,0.5643761904761901,0.3044943820224717
Ian Holloway,1,-0.1078475850850419,0.012867647058823579
Jan Siewert,1,0.06176136608489567,0.01228070175438616
Javi Gracia,2,0.056774758696198566,0.01329317269076335
Jesse Marsch,1,-0.0617137456841405,-0.03014814814814828
John Carver,1,0.32767484907068245,0.33105691056910574
Jose Mourinho,6,0.12722276690744183,0.1382157123834887
Julen Lopetegui,1,0.3624169799498748,0.3929523809523809
Jurgen Klopp,8,0.15220899383554182,0.1765807067812799
Kenny Dalglish,2,0.31838789469904016,0.2611693548387097
Louis van Gaal,2,0.2509771560139206,0.2740416666666665
Manuel Pellegrini,4,0.2668563505171941,0.2321062992125984
Marcelo Bielsa,1,-0.040769056479583,0.03370860927152311
Marco Silva,3,0.007534045211217224,0.028360215053763453
Mark Hughes,7,0.19389675606158857,0.1621945432977461
Martin Jol,2,0.1971188151172549,0.20251999999999976
Martin O'Neill,2,0.11891887446029652,0.07066420664206638
Mauricio Pochettino,7,0.1791816394477505,0.17271115745568297
Maurizio Sarri,1,0.3443655605517062,0.3422147651006712
Michael Laudrup,1,0.2410265853937728,0.16251700680272096
Mick McCarthy,2,0.12663414883727375,0.17882629107981213
Mikel Arteta,4,0.09741104735450948,0.11611344537815126
Neil Adams,1,0.37824640648671126,0.32425
Neil Warnock,1,0.11596613912403395,-0.037669172932330824
Nigel Adkins,1,-0.020095271601463308,-0.05569999999999963
Nigel Pearson,2,0.2577092049520984,0.24944915254237296
Nuno Espirito Santo,3,0.11885856067131564,0.0937209302325581
Ole Gunnar Solskjaer,4,0.10153467881577927,0.09077972709551652
Owen Coyle,3,0.04809868610435644,0.1594764397905759
Paolo Di Canio,1,0.07739083048874071,0.13947368421052628
Patrick Vieira,1,0.20712795705326661,0.17576
Paul Clement,1,0.08569859307359322,0.08954954954954969
Paul Lambert,4,0.009736815336197463,0.018172690763052203
Pep Guardiola,7,0.12481860990211245,0.15218888888888885
Pepe Mel,1,0.0322299073475544,0.019724770642201708
Quique Sanchez Flores,1,0.07163617390736204,0.09209459459459451
Rafael Benitez,5,0.18042484359264943,0.18273648648648647
Ralf Rangnick (interim),1,0.33910442723635237,0.2899206349206347
Ralph Hasenhuttl,4,0.14587304303161072,0.10270833333333317
Roberto De Zerbi,1,0.12405702793938105,0.198403361344538
Roberto Di Matteo,1,0.3012705627705627,0.26322033898305064
Roberto Mancini,4,0.25676799303934933,0.20801923076923073
Roberto Martinez,7,0.1640440363089698,0.13575357535753568
Ronald Koeman,3,0.23733995132541252,0.28251322751322755
Roy Hodgson,9,0.10275705311802054,0.09295737122557718
Ruben Selles,1,-0.11215202444614218,-0.13700000000000007
Sam Allardyce,9,0.15832231147190393,0.17071497584541068
Scott Parker,2,-0.08931035657363934,0.0009128630705394438
Sean Dyche,8,0.028804718803478437,0.04501869158878511
Sir Alex Ferguson,4,0.13874761523199017,0.1775906183368869
Slaven Bilic,2,-0.14902607868322154,-0.045164319248826135
Steve Bruce,6,0.16090604565952488,0.2088757396449704
Steve Clarke,1,0.33526147286008895,0.19472868217054273
Steve Cooper,1,0.47737132936507926,0.4216304347826086
Steve Kean,2,0.18580450584274114,0.2581012658227848
Steven Gerrard,1,-0.07822802473261999,-0.01625899280575506
Terry Connor,1,0.08367352744721158,0.031596638655461994
Thomas Frank,2,0.21457697782776322,0.23483516483516484
Thomas Tuchel,2,-0.07958324975289255,-0.12882845188284509
Tim Sherwood,2,0.07310034165181213,0.11370212765957431
Tony Pulis,8,0.1421188887131366,0.1507317073170732
Unai Emery,2,0.30611721888168747,0.2000383141762451
Walter Mazzarri,1,0.27046486902660977,0.10819672131147533
