player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Aaron Connolly,4,1,0.8399999999999999,0.8399999999999999
Aaron Cresswell,113,9,0.13945210484103665,0.13654867256637157
Aaron Hickey,6,1,0.1416666666666666,0.1416666666666666
Aaron Hughes,41,4,0.14924780701754378,0.1641463414634146
Aaron Lennon,46,8,0.2833333333333334,0.31891304347826105
Aaron Mokoena,8,1,-0.0774999999999996,-0.0774999999999996
Aaron Mooy,32,3,0.06901587301587313,0.06531250000000015
Aaron Ramsdale,71,4,-0.02614619883040857,-0.02859154929577389
Aaron Ramsey,41,9,0.4186913580246913,0.3621951219512192
Aaron Wan-Bissaka,57,5,-0.11066666666666673,-0.06438596491228081
Abdoulaye Doucoure,73,7,0.19038935574229715,0.07630136986301392
Abdoulaye Faye,13,1,0.1169230769230766,0.1169230769230766
Abdul Rahman Baba,3,1,-0.4599999999999991,-0.4599999999999991
Abel Hernandez,5,2,-0.0008333333333330195,-0.05999999999999959
Abou Diaby,14,3,0.5831481481481484,0.8500000000000002
Adam Armstrong,5,2,0.15750000000000014,0.1680000000000001
Adam Bogdan,1,1,-3.28,-3.28
Adam Clayton,14,1,0.1985714285714284,0.1985714285714284
Adam Drury,1,1,-0.3399999999999998,-0.3399999999999998
Adam Federici,5,1,-0.4460000000000006,-0.4460000000000006
Adam Forshaw,14,3,-0.1102777777777778,-0.0792857142857146
Adam Idah,1,1,0.0899999999999998,0.0899999999999998
Adam Johnson,40,5,0.44263149350649317,0.26874999999999954
Adam Lallana,55,7,0.20826133786848114,0.2663636363636364
Adam Le Fondre,3,1,0.956666666666667,0.956666666666667
Adam Masina,9,3,0.002222222222221996,-0.08000000000000014
Adam Smith,57,6,0.13276785714285744,0.14526315789473698
Adam Webster,35,4,0.14819534632034692,0.006857142857143498
Adama Diakhaby,1,1,0.29,0.29
Adama Traore,24,5,0.4059333333333335,0.23833333333333337
Adel Taarabt,14,3,0.5427777777777786,0.5492857142857148
Ademola Lookman,15,2,0.3107692307692309,0.13533333333333306
