player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Shane Duffy,37,4,-0.8184191176470581,-0.5489189189189182
Emiliano Martinez,53,3,-0.3424561403508776,-0.33962264150943444
Mame Diouf,31,4,-0.2949583333333334,-0.2632258064516129
Yves Bissouma,34,5,-0.30537499999999995,-0.24941176470588225
Adrian,38,5,-0.7504493927125504,-0.24605263157894708
Artur Boruc,44,4,-0.1176883012820511,-0.23772727272727254
Nick Pope,82,5,-0.26292991452991465,-0.23719512195121967
Tom Cleverley,40,8,-0.3080059523809522,-0.23374999999999982
Gabriel Magalhaes,39,3,-0.3031359649122806,-0.2133333333333333
Mathew Ryan,52,3,-0.1972884990253414,-0.20115384615384638
Charlie Taylor,42,5,-0.20457272727272696,-0.19476190476190433
Christian Benteke,71,10,-0.3110431202784142,-0.16760563380281648
Philip Billing,33,3,-0.15315440115440135,-0.1672727272727275
Tom Heaton,37,3,-0.05489035087719307,-0.1481081081081081
Lukasz Fabianski,154,10,-0.19864978930168592,-0.14337662337662377
Aymeric Laporte,36,5,-0.23569642857142856,-0.1427777777777778
Ali Al Habsi,45,3,-0.19395175438596515,-0.1408888888888891
Maya Yoshida,33,5,-0.13426666666666695,-0.14000000000000032
Wayne Hennessey,49,6,-0.1120694444444446,-0.12469387755102054
Fraser Forster,35,6,-0.28761961722488055,-0.12428571428571433
Asmir Begovic,89,9,-0.015612092017793518,-0.12359550561797729
Issa Diop,34,5,-0.1100047619047622,-0.11735294117647103
Joao Moutinho,62,5,-0.08308484848484832,-0.11258064516129021
Ciaran Clark,44,9,-0.08369456469456477,-0.10522727272727282
Emre Can,33,4,-0.0861458333333336,-0.1051515151515155
Damien Delaney,46,4,-0.14516880341880326,-0.10239130434782576
Martin Dubravka,45,3,0.011629072681704286,-0.09955555555555533
Brad Friedel,57,3,-0.09719298245614073,-0.09719298245614075
Heurelho Gomes,67,5,-0.10383997055575996,-0.09477611940298512
Callum Wilson,46,7,-0.04548717948717954,-0.09369565217391317
N'Golo Kante,79,7,-0.2071608143257304,-0.0936708860759496
Joleon Lescott,48,6,0.14833585858585888,-0.09312499999999972
Manuel Lanzini,31,5,-0.021333333333333076,-0.07129032258064479
Aaron Wan-Bissaka,57,5,-0.11066666666666673,-0.06438596491228081
Timothy Castagne,35,3,-0.0617570664629484,-0.06285714285714249
Craig Cathcart,65,6,-0.07655534511784488,-0.06261538461538446
Xherdan Shaqiri,33,3,-0.1338686585745409,-0.060606060606060434
Kyle Walker-Peters,32,3,-0.059272727272727664,-0.05843750000000039
Matty Cash,34,3,-0.08055555555555576,-0.05441176470588263
Thibaut Courtois,52,4,-0.125654694570136,-0.054230769230769464
David de Gea,188,12,-0.08404708820662776,-0.0494680851063831
Danny Ings,54,5,-0.01939166666666665,-0.04907407407407395
Dejan Lovren,50,6,0.14058226495726536,-0.04699999999999953
DeAndre Yedlin,30,3,-0.050944444444444535,-0.03733333333333348
Jordan Pickford,113,7,-0.09969141604010041,-0.036548672566371884
Sylvain Distin,63,5,-0.011283208020050482,-0.03428571428571464
Thomas Vermaelen,31,4,-0.013511904761905225,-0.03322580645161356
Youssouf Mulumbu,56,6,-0.07014781746031791,-0.033035714285715036
