season,unweighted_average_hra,weighted_average_hra
2009/2010,0.2932802037391712,0.26358646306231936
2010/2011,0.17123738307709982,0.1889073249696479
2011/2012,0.1599211691228299,0.1843323805634952
2012/2013,0.1422092564440741,0.1306888265919103
2013/2014,0.17238143229264977,0.1836085002043318
2014/2015,0.14056736929287533,0.15054631828978618
2015/2016,0.10817140917358237,0.10485940594059401
2016/2017,0.14615039019145512,0.16919549477071597
2017/2018,0.16836643036767868,0.15089148850342882
2018/2019,0.10441445433678591,0.09579822187862387
2019/2020,0.1565692967213021,0.14958818958818965
2020/2021,-0.00617821749793932,-0.012056293979671633
2021/2022,0.0981778767565179,0.08853697749196147
2022/2023,0.1651294315039601,0.17534697152025666
