team_name,season_count,unweighted_average_hra,weighted_average_hra
Arsenal,14,0.20754328077510198,0.2199574468085106
Aston Villa,11,0.06590798889080991,0.060229805013927544
Burnley,8,0.05669376732056336,0.07009451795841211
Chelsea,14,0.16506381192274658,0.16159556786703602
Crystal Palace,10,0.06263228356207991,0.05084355828220863
Everton,14,0.16403665797391,0.17429290106204587
Fulham,8,0.13390641175136994,0.10534020618556693
Leicester City,9,0.15797979415400373,0.1237074829931973
Liverpool,14,0.2052261461960157,0.2193939393939394
Manchester City,14,0.20019822302551324,0.19625903279599774
Manchester United,14,0.13212220092738086,0.1587081620669406
Newcastle United,12,0.16694249503232084,0.1639396170839469
Southampton,11,0.1405461146989698,0.11708550185873601
Stoke City,9,0.17775595990599116,0.1631565656565656
Sunderland,8,0.15094304374682987,0.1518468468468467
Swansea City,7,0.13157982526864592,0.15523965141612198
Tottenham Hotspur,14,0.1361109529318525,0.17405496354458772
West Bromwich Albion,9,0.11775559236451134,0.10571301247771828
West Ham United,13,0.06486952438674026,0.11969677826910927
Wolverhampton Wanderers,8,0.1402248867632306,0.10954022988505739
