,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.07451402674487116,0.175071809972301,-0.42561978856938987,0.6703849184815476,-0.41764846899882146,0.2686204155090791
team_name[T.Aston Villa],-0.06769321635721405,0.04347391699219991,-1.557099544753687,0.11944685312257923,-0.15290052792880976,0.017514095214381645
team_name[T.Birmingham City],0.14731094431907332,0.060106954548389116,2.450813644209517,0.0142533725306908,0.02950347818384466,0.26511841045430196
team_name[T.Blackburn Rovers],0.1639624650041546,0.07435216121429318,2.20521451328889,0.02743904523481349,0.018234906851424065,0.3096900231568851
team_name[T.Blackpool],-0.10405195799843656,0.06329848450800031,-1.6438301612937574,0.10021128933289067,-0.22811470791008373,0.020010791913210618
team_name[T.Bolton Wanderers],0.011918856053941745,0.07161275399053735,0.1664348232650941,0.8678147711054468,-0.12843956260123848,0.15227727470912197
team_name[T.Bournemouth],0.042353554506589924,0.0648457564917662,0.653143039698639,0.5136640674969992,-0.08474179276752625,0.1694489017807061
team_name[T.Brentford],0.21562314605776126,0.07093633794881159,3.039671236106905,0.0023683652527526793,0.07659047848292866,0.35465581363259385
team_name[T.Brighton & Hove Albion],-0.018439910860909,0.05790410359847504,-0.3184560284151369,0.7501390439965461,-0.13192986847099622,0.09505004674917822
team_name[T.Burnley],0.011441257891338508,0.051993842688326256,0.22005024633248194,0.8258320226984018,-0.09046480119562217,0.1133473169782992
team_name[T.Cardiff City],-0.08597576048762295,0.10273310206637867,-0.8368846920642157,0.4026573857348025,-0.28732894055780256,0.11537741958255665
team_name[T.Chelsea],0.043055537224640915,0.04373240791498056,0.9845224463364667,0.3248587005054323,-0.04265840724593537,0.1287694816952172
team_name[T.Crystal Palace],-0.03946939246192861,0.04725031836293543,-0.835325429106306,0.4035345035361346,-0.13207831471133363,0.053139529787476394
team_name[T.Everton],0.05356052755648568,0.04458931185665891,1.2011965497172619,0.22967496748287675,-0.033832917777990586,0.14095397289096195
team_name[T.Fulham],0.020190372833273185,0.055784017749203184,0.3619383050544362,0.7173981344461041,-0.08914429286810818,0.12952503853465455
team_name[T.Huddersfield Town],0.005849575720916793,0.07083748573423967,0.08257740460838194,0.9341875684101413,-0.13298934507356283,0.14468849651539642
team_name[T.Hull City],0.05795087539864615,0.05411016355922978,1.0709794904835626,0.2841786516094069,-0.048103096375015884,0.16400484717230818
team_name[T.Leeds United],0.021912763169085317,0.07652922525407467,0.2863319613694718,0.7746238807759543,-0.12808176209365418,0.17190728843182485
team_name[T.Leicester City],0.037443148361424886,0.0543964365896931,0.6883382572254654,0.49123979526961703,-0.0691719082416904,0.14405820496454017
team_name[T.Liverpool],0.04606170779735631,0.04357080577957455,1.0571690601817942,0.2904344375891724,-0.03933550230799944,0.13145891790271208
team_name[T.Manchester City],0.010008854874583722,0.04705452073795692,0.21270761486069067,0.8315550268841927,-0.08221631108160493,0.10223402083077238
team_name[T.Manchester United],-0.04747529376126227,0.043715084387417,-1.0860162899497368,0.27747178526444327,-0.1331552847417288,0.03820469721920427
team_name[T.Middlesbrough],-0.12369935728147184,0.07497959348168655,-1.6497736455677756,0.09898924095132029,-0.2706566600810317,0.023257945518087977
team_name[T.Newcastle United],-0.001709529096208159,0.04491648794888053,-0.03806016842086529,0.9696397092792071,-0.08974422778804135,0.08632516959562504
team_name[T.Norwich City],0.07023106462037373,0.053104273361457205,1.3225124867511522,0.18599755414216979,-0.033851398593252174,0.17431352783399964
team_name[T.Nottingham Forest],0.594430194874949,0.06318359497990009,9.40798311751727,5.0574799792507144e-21,0.470592624300579,0.7182677654493189
team_name[T.Queens Park Rangers],0.38258777204508376,0.07696216054017115,4.971115277427644,6.656885187148202e-07,0.2317447092139586,0.5334308348762089
team_name[T.Reading],-0.28073272240290187,0.08565059018701213,-3.2776507644599,0.0010467481471308176,-0.44860479442404544,-0.11286065038175833
team_name[T.Sheffield United],0.20279308060865706,0.05919935716229944,3.425595991738301,0.000613452120823626,0.08676447266262687,0.31882168855468723
team_name[T.Southampton],0.0007236106760165905,0.050595279342583226,0.014301940525260976,0.9885890914750365,-0.09844131462318992,0.0998885359752231
team_name[T.Stoke City],0.02572605763350493,0.044550705968662174,0.5774556670684665,0.5636316786480371,-0.06159172155090656,0.11304383681791641
team_name[T.Sunderland],-0.02049183534981787,0.05371058516322475,-0.3815232190739281,0.7028150454257431,-0.12576264785830976,0.08477897715867402
team_name[T.Swansea City],0.09455236813285522,0.050354088816321606,1.8777495602741865,0.06041543336500143,-0.004139832421466247,0.1932445686871767
team_name[T.Tottenham Hotspur],0.048803802770907616,0.04072896839070702,1.1982577683465954,0.2308166820891301,-0.03102350840234843,0.12863111394416366
team_name[T.Watford],-0.0011814034896892162,0.05891376958686177,-0.02005309621118996,0.984001016413642,-0.11665027007342947,0.11428746309405104
team_name[T.West Bromwich Albion],0.013433791879416946,0.04929909086906598,0.27249573252975207,0.7852408721213304,-0.08319065069451982,0.1100582344533537
team_name[T.West Ham United],-0.004143288953490011,0.04302108218184437,-0.0963083386879224,0.9232756885594764,-0.08846306060584283,0.0801764826988628
team_name[T.Wigan Athletic],-0.01583043307471392,0.06118640355563026,-0.2587246864464096,0.7958476708981135,-0.13575358038728275,0.10409271423785489
team_name[T.Wolverhampton Wanderers],0.015457183464020304,0.051812886282406365,0.2983270103844603,0.765453591028935,-0.08609420758456558,0.1170085745126062
promoted[T.True],0.033234203461614306,0.021316375901942297,1.5590925781425202,0.11897447003226169,-0.008545125587110104,0.07501353251033871
is_captain[T.True],0.015129124414960983,0.022845629144027962,0.662232776325876,0.5078220515391327,-0.029647485911492445,0.05990573474141441
basic_position[T.defender],-0.08946776722158545,0.026929372504302575,-3.322311621159793,0.0008927492985646413,-0.1422483674562817,-0.036687166986889196
basic_position[T.goalkeeper],-0.16954292112802838,0.040258468476771087,-4.2113604303117915,2.5383736504153526e-05,-0.24844806941524078,-0.09063777284081596
basic_position[T.midfielder],-0.019700800819985983,0.024983055799476798,-0.7885664979541279,0.4303654182869705,-0.06866669041071503,0.029265088770743065
british_nationality[T.True],0.0041485434873011744,0.01463627722307572,0.28344253282935455,0.7768376281004513,-0.024538032737671155,0.0328351197122735
I(average_home_attendance / 10000),0.03155401358494718,0.0056567712891995355,5.578096050160841,2.4316538365924285e-08,0.02046694558933588,0.04264108158055848
player_quality,0.0023955341905924016,0.002138237789348024,1.1203310513574034,0.26257271457775466,-0.0017953348669122677,0.006586403248097071
skill_moves,0.018552502546220602,0.011807984097794795,1.5711828871522093,0.1161401738704006,-0.004590721015478881,0.041695726107920085
age,-0.0008370353494596013,0.0019541555153550706,-0.4283360985768381,0.6684064408852741,-0.004667109779745849,0.0029930390808266456
trend,-0.008626642329817198,0.0019553522731183856,-4.411809804511324,1.0251014409197087e-05,-0.012459062362217761,-0.0047942222974166355
