,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.02211415319730878,0.12804383482029902,-0.17270767646364638,0.8628812095251408,-0.2730754578874906,0.22884715149287302
team_name[T.Aston Villa],-0.09511040131964205,0.036781550304870105,-2.585818175995938,0.009714816284060668,-0.1672009152127357,-0.023019887426548397
team_name[T.Birmingham City],0.08901824646805721,0.05207204638343282,1.70952080147899,0.08735452192041562,-0.013041089044770277,0.1910775819808847
team_name[T.Blackburn Rovers],0.124623005955444,0.05598438066433937,2.226031698066559,0.02601205828861587,0.014895636156558256,0.23435037575432974
team_name[T.Blackpool],-0.15470686160588099,0.06622857234287945,-2.33595344325,0.01949366812532689,-0.28451247814543024,-0.024901245066331762
team_name[T.Bolton Wanderers],-0.013931728593611806,0.05969660823728139,-0.23337554686919787,0.8154697997453932,-0.13093493073788046,0.10307147355065684
team_name[T.Bournemouth],0.020261794407348384,0.05141317664725111,0.39409730595652104,0.6935091999348131,-0.08050618015205957,0.12102976896675632
team_name[T.Brentford],0.1833428412019034,0.05501071063673273,3.3328571669001206,0.0008595905955584641,0.07552382958995277,0.291161852813854
team_name[T.Brighton & Hove Albion],-0.05499272623632697,0.04871209390508641,-1.1289337375535144,0.25892578735804306,-0.1504666759018294,0.04048122342917546
team_name[T.Burnley],-0.0267650511508432,0.04330736601986213,-0.6180253756039538,0.5365586115682642,-0.11164592881506673,0.058115826513380334
team_name[T.Cardiff City],-0.07222420563774594,0.07943360213420113,-0.9092399651689584,0.3632234725813761,-0.2279112049830641,0.08346279370757224
team_name[T.Chelsea],-0.009898142555080706,0.03743436368927517,-0.264413271112085,0.7914614864520119,-0.08326814717023398,0.06347186206007258
team_name[T.Crystal Palace],-0.05513630068594501,0.038773688622427124,-1.4220029779177,0.15502538644861716,-0.13113133393367263,0.02085873256178261
team_name[T.Everton],0.022863585815502536,0.036778154488612824,0.6216621288754853,0.5341640587597307,-0.04922027240002873,0.09494744403103379
team_name[T.Fulham],-0.02453148033986753,0.04445950292006572,-0.5517713588470158,0.581105012588712,-0.11167050483374971,0.06260754415401465
team_name[T.Huddersfield Town],-0.03308066454662421,0.05774205681353323,-0.5729041598475059,0.5667095878587475,-0.14625301629441498,0.08009168720116655
team_name[T.Hull City],0.05580894001920933,0.04400329145137935,1.2682901250892658,0.2046943622140881,-0.030435926426713444,0.1420538064651321
team_name[T.Leeds United],-0.0357356634575767,0.05878744312489102,-0.607879192528548,0.5432676007853716,-0.15095693472555993,0.07948560781040652
team_name[T.Leicester City],0.007297590025829523,0.043330032560202396,0.16841875241359006,0.8662538565232798,-0.07762771324111505,0.0922228932927741
team_name[T.Liverpool],0.026754493184855444,0.035631219307959344,0.7508722323987098,0.4527295529598875,-0.04308141338399306,0.09659039975370394
team_name[T.Manchester City],-0.0021333334042802146,0.03643857969447697,-0.05854600871294569,0.9533137156649882,-0.07355163725324759,0.06928497044468718
team_name[T.Manchester United],-0.10581709800271284,0.03501277869889025,-3.0222422194119307,0.0025090968686379755,-0.1744408832512089,-0.03719331275421678
team_name[T.Middlesbrough],-0.013153543673996614,0.0904611459050826,-0.14540545051019055,0.8843907615155191,-0.1904541316481815,0.16414704430018826
team_name[T.Newcastle United],-0.021577646183954285,0.035647995746717474,-0.6052975975778719,0.5449812774132547,-0.09144643396855758,0.048291141600649
team_name[T.Norwich City],0.0298109229178433,0.04350898412811079,0.6851670641186658,0.49323850474294195,-0.05546511897717869,0.1150869648128653
team_name[T.Nottingham Forest],0.315267095283383,0.11175997982009889,2.8209301378800484,0.004788462984327464,0.09622155992306594,0.5343126306437
team_name[T.Portsmouth],0.05443246006887717,0.09359521031796716,0.5815731369581414,0.5608542415997393,-0.12901078127979013,0.23787570141754447
team_name[T.Queens Park Rangers],0.20905777279539475,0.0641204055532555,3.260393801186439,0.0011125762276789537,0.0833840872369119,0.33473145835387763
team_name[T.Reading],-0.22546627733252264,0.07913127272024406,-2.84926893732169,0.004381982231182393,-0.3805607219150179,-0.0703718327500274
team_name[T.Sheffield United],0.15385059555241587,0.04860712302371011,3.1651862110285554,0.0015498372986450563,0.05858238503383639,0.24911880607099535
team_name[T.Southampton],-0.009634941571123747,0.04107488564187026,-0.23457013745893998,0.8145423897510322,-0.09014023809829083,0.07087035495604332
team_name[T.Stoke City],-0.0007262572691596463,0.038336670850696745,-0.018944192415352806,0.9848856254075558,-0.07586475142369178,0.07441223688537249
