,variable_importance,cumulative_importance
average_home_attendance,0.17093069598529242,0.17093069598529242
player_quality,0.11018605944719617,0.2811167554324886
trend,0.10595279943858125,0.38706955487106987
skill_moves,0.09614022331761791,0.48320977818868777
age,0.0847864349905766,0.5679962131792644
basic_position_goalkeeper,0.06376394333808086,0.6317601565173453
basic_position_attacker,0.03323044637220192,0.6649906028895473
basic_position_midfielder,0.03177172589763969,0.6967623287871869
basic_position_defender,0.027863348995555894,0.7246256777827428
british_nationality,0.01915669231638163,0.7437823700991244
team_name_Liverpool,0.01446745985293885,0.7582498299520632
team_name_Brighton & Hove Albion,0.013465604565655851,0.7717154345177191
team_name_Queens Park Rangers,0.012364101703895613,0.7840795362216146
team_name_Aston Villa,0.012013710371404808,0.7960932465930195
is_captain,0.011376457816424214,0.8074697044094438
team_name_Nottingham Forest,0.011015167907486112,0.8184848723169299
team_name_Everton,0.010224975670982404,0.8287098479879123
team_name_Southampton,0.009874102464303095,0.8385839504522153
team_name_Tottenham Hotspur,0.009433436475708984,0.8480173869279243
team_name_Crystal Palace,0.009274362405029811,0.857291749332954
team_name_Cardiff City,0.009131453102102692,0.8664232024350568
promoted,0.008929477415431875,0.8753526798504887
team_name_Chelsea,0.008278669774294405,0.8836313496247831
team_name_Arsenal,0.008093035336270489,0.8917243849610536
team_name_Burnley,0.007188429571191541,0.8989128145322451
team_name_Manchester City,0.0069637626712273585,0.9058765772034725
team_name_Leicester City,0.0066195295647075506,0.91249610676818
team_name_Bournemouth,0.00637379899407952,0.9188699057622596
team_name_Wolverhampton Wanderers,0.006354853341625016,0.9252247591038846
team_name_Manchester United,0.006188983394422634,0.9314137424983072
team_name_Swansea City,0.0059729894300262695,0.9373867319283334
team_name_Fulham,0.005843087373584442,0.9432298193019178
team_name_Blackburn Rovers,0.00565254430042095,0.9488823636023388
team_name_Sunderland,0.005651502298213447,0.9545338659005522
team_name_Birmingham City,0.004986879492205948,0.9595207453927582
team_name_Watford,0.004637876635175082,0.9641586220279333
team_name_Wigan Athletic,0.004330826132966712,0.9684894481609001
team_name_Newcastle United,0.004150024193703696,0.9726394723546038
team_name_Leeds United,0.003769260882008877,0.9764087332366127
team_name_West Ham United,0.003709607621497211,0.9801183408581099
team_name_West Bromwich Albion,0.003646090524848982,0.9837644313829589
team_name_Brentford,0.0028830719406193975,0.9866475033235783
team_name_Bolton Wanderers,0.0025922420275430523,0.9892397453511214
team_name_Norwich City,0.0023794537644990974,0.9916191991156205
team_name_Sheffield United,0.002230277567134842,0.9938494766827553
team_name_Stoke City,0.001913198900213937,0.9957626755829692
team_name_Blackpool,0.0011980272475555676,0.9969607028305247
team_name_Huddersfield Town,0.001085718006527235,0.998046420837052
team_name_Reading,0.0009689633685131459,0.9990153842055651
team_name_Middlesbrough,0.0006139433171760057,0.9996293275227411
team_name_Hull City,0.00037067247725905823,1.0000000000000002
